#Table1
plate,mjd,fiberid,oiii_5007_flux,h_beta_flux,h_alpha_flux,nii_6584_flux,e_bv_sfd,oiii_5007_flux_err,h_beta_flux_err,h_alpha_flux_err,nii_6584_flux_err,ratio_oiii_hb,ratio_nii_ha
986,52443,29,456.4222,857.3526,3249.227,1259.511,0.05256192,8.776516,10.21475,25.0313,12.38062,0.5323623,0.3876341
1774,53759,162,101.4318,263.4741,1088.59,641.1528,0.02692442,9.75652,10.06093,20.17524,17.83616,0.3849782,0.5889753
1778,53883,182,226.6759,93.03514,289.9238,356.4591,0.02664999,13.30673,11.21196,18.93317,18.14588,2.436454,1.229493
2520,54584,631,78.40385,34.39631,117.0103,206.4456,0.0506454,3.9727,3.565499,4.839863,5.043667,2.279426,1.764337
2524,54568,549,83.87096,54.19944,121.868,195.3548,0.04751527,9.532207,7.236082,10.86011,13.83498,1.547451,1.603003
1314,53050,55,19.41157,22.62053,62.63954,48.09674,0.01372484,3.306921,2.95796,3.418808,3.859233,0.8581396,0.7678335
513,51989,603,107.5646,702.7158,3212.755,1216.78,0.02298417,4.944746,8.010198,21.99816,10.39292,0.1530699,0.3787342
1974,53430,566,115.8487,707.408,3346.129,1500.314,0.02330142,5.497598,8.032629,27.29002,12.72727,0.1637651,0.4483731
1725,54266,514,3823.379,811.241,3142.346,2141.056,0.03579252,27.58351,10.16074,24.02203,16.5736,4.713001,0.681356
1625,53140,295,570.2411,116.9107,439.5366,541.8184,0.02270743,13.59312,8.322522,14.15242,15.06,4.877577,1.232704
1427,52996,392,726.9294,897.8938,3387.993,1866.005,0.01245926,11.36378,11.91218,29.06047,19.2161,0.809594,0.5507702
2883,54525,638,115.3325,103.4394,316.2162,320.0678,0.01741236,12.20494,12.05321,21.42752,20.57097,1.114977,1.01218
2769,54527,535,110.6279,53.06117,148.1966,253.2597,0.02995778,8.980727,7.877617,12.38706,13.33197,2.084912,1.708945
579,52338,83,366.3863,1414.765,5959.053,2818.417,0.0456323,16.83248,22.59591,56.91217,35.08831,0.2589732,0.4729639
435,51882,7,132.8862,70.10115,183.1857,278.3137,0.05006652,9.77773,9.01135,13.2668,13.53106,1.895636,1.519298
446,51899,533,56.21196,31.91691,78.98113,84.84783,0.03163759,4.889818,4.234848,5.61822,5.882434,1.761197,1.07428
488,51914,564,218.7324,505.8112,1826.617,816.3755,0.01356273,4.369924,5.494184,12.13894,6.414403,0.4324388,0.4469331
2419,54139,94,1000.866,974.8807,3278.345,907.5422,0.02118009,13.24906,11.21332,24.75089,10.6395,1.026655,0.2768293
1666,52991,353,89.37925,46.08417,175.3036,189.666,0.1613972,7.087763,6.739186,9.736,8.718737,1.939478,1.081929
1590,52974,595,1053.201,1788.409,6229.974,2803.249,0.02530011,12.47184,15.56817,42.03598,18.71093,0.5889036,0.4499615
407,51820,565,85.21669,53.95181,175.9189,246.5784,0.02512611,5.156185,4.279678,6.142376,6.915007,1.579496,1.401659
1800,53884,372,231.1316,102.2334,486.9748,786.7202,0.02233606,14.28234,12.30596,23.32933,23.82556,2.260823,1.615525
1805,53875,37,216.2393,149.4475,667.6162,833.6276,0.02954859,15.12216,13.30606,24.09348,25.18627,1.446925,1.248663
1805,53875,64,1246.71,1490.277,5743.216,1624.921,0.02553122,14.21406,13.94163,38.52542,13.66968,0.8365625,0.2829287
828,52317,370,166.8517,283.0674,1267.261,1082.414,0.04284543,12.13291,11.3897,22.3632,21.7666,0.5894416,0.8541365
2520,54584,378,162.7762,31.01513,161.4671,161.9441,0.05867947,3.310022,2.312289,3.35391,3.279806,5.248282,1.002954
336,51999,1,319.9759,1358.307,4808.221,1715.968,0.02748587,13.51064,19.13412,42.74367,18.45583,0.2355695,0.3568821
349,51699,402,99.86073,278.9562,956.2443,329.3289,0.03018635,2.35027,2.934425,5.600202,2.807112,0.3579799,0.3443983
359,51821,186,106.3675,36.77844,117.4972,95.3795,0.02910859,7.587248,6.611171,8.851816,8.153082,2.892115,0.8117599
1324,53088,275,114.5978,23.47178,92.60556,48.79398,0.008749323,7.601598,4.66946,6.775702,8.095377,4.882365,0.5269011
765,52254,563,221.2672,118.2206,246.12,245.8423,0.01877267,15.52543,14.03254,21.25212,20.50525,1.871646,0.9988716
519,52283,415,1097.839,364.6638,1627.747,3161.461,0.02010713,17.09361,12.50849,26.47431,30.81726,3.010552,1.942231
1997,53442,131,571.0457,1213.017,5363.947,4444.165,0.01837415,13.67737,15.53976,39.77324,28.44792,0.470765,0.8285251
687,52518,610,276.6197,223.1246,663.1437,559.9866,0.02468334,13.35209,12.64592,21.34266,19.87522,1.239755,0.8444423
2608,54474,537,71.02692,72.81252,188.7143,188.4868,0.0276576,5.536121,5.445115,7.964718,7.868378,0.9754767,0.9987941
890,52583,590,1030.499,158.5034,797.8468,1028.453,0.06576549,18.42098,10.21366,19.33614,20.83676,6.501431,1.289035
895,52581,44,83.02628,48.51385,127.5425,96.91234,0.04179006,7.226422,6.569545,9.351295,8.585531,1.711393,0.7598436
930,52618,485,228.4237,160.6909,368.5282,279.0559,0.0486434,9.226475,8.766706,13.54654,12.22683,1.42151,0.7572171
967,52636,8,85.45663,47.90237,112.2611,128.0909,0.02140134,8.93327,7.859986,11.76526,12.03788,1.783975,1.141009
1377,53050,65,268.9709,271.4026,1268.191,1537.084,0.008425403,15.44129,12.73599,26.93466,29.7037,0.9910401,1.212028
1397,53119,149,294.8192,130.5457,413.4928,643.7435,0.01861898,16.97692,15.53764,26.05527,26.23733,2.258359,1.556843
