#Table1
sdss_ra,sdss_dec,wise_ra,wise_dec,r,plate,mjd,fiberid,z,oiii_5007_flux,h_beta_flux,h_alpha_flux,nii_6584_flux,w1mpro,w2mpro,w3mpro,w1_w2,w2_w3
24.840529404063,14.9882001018212,24.8407315,14.9880146,19.34605,426,51882,535,0.04484015,173.0557,91.73483,281.1983,29.89232,15.801,15.933,12.951,-0.132,2.981999
5.96144401601208,16.1155132322224,5.9614328,16.1155056,17.22631,753,52233,443,0.03683284,80.57079,274.3394,1109.402,542.91,12.885,12.831,10.041,0.0539999,2.79
2.19166903446381,15.8617661885196,2.191642,15.8616666,19.30397,751,52251,613,0.04041481,120.0555,101.2889,356.265,75.09138,14.487,14.274,10.536,0.2130003,3.738
22.2106848737623,-0.952479022580262,22.2106763,-0.9524727,19.42958,1551,53327,47,0.1599736,48.4233,12.15573,50.8999,32.29381,15.09,14.766,12.239,0.3240004,2.526999
22.6093156703677,0.231216507637789,22.6087843,0.2307902,19.22045,1078,52643,375,0.1446065,25.08898,99.56728,438.7099,155.5525,14.141,13.901,10.587,0.2399998,3.314
21.8875999567383,0.750450524942244,21.8875681,0.7505367,20.54107,1551,53327,506,0.1192498,60.70382,40.74109,129.0894,21.88585,16.557,16.338,12.536,0.2189999,3.801999
22.0352861340908,0.63255820288764,22.0352935,0.6325958,19.62401,1079,52621,549,0.0776122,33.04294,56.37716,200.0984,49.92332,15.236,15.039,11.53,0.1970005,3.509
22.0438183316938,0.711975893833056,22.0437547,0.7119187,19.44808,399,51817,589,0.1180449,33.28568,77.88139,291.4536,100.1723,15.492,15.048,11.283,0.4439993,3.765
22.7962354279092,0.786121319449594,22.7962219,0.7861433,19.75408,697,52226,498,0.08680698,10.26094,29.36647,102.561,32.86455,15.279,15.121,11.805,0.158,3.316
22.8751739793634,0.637683510427709,22.8751477,0.6376856,19.47442,1502,53741,377,0.1180261,15.45685,12.57981,50.66946,28.47306,14.919,14.687,12.47,0.2319994,2.217
27.5127432350137,0.75728771498607,27.5127549,0.7571501,20.58818,1076,52914,394,0.05990094,32.02184,32.08681,100.6484,20.00281,15.887,15.608,12.237,0.2790003,3.370999
21.890853600488,1.10254549872213,21.8903989,1.1023035,20.44417,1079,52621,534,0.1295613,14.81634,26.28074,90.45128,21.55721,16.855,16.718,12.446,0.1369991,4.272
