plate,mjd,fiberid,oiii_5007_flux,h_beta_flux,h_alpha_flux,nii_6584_flux,w1mpro,w2mpro,w3mpro,w1_w2,w2_w3,ratio_oiii_hb,ratio_nii_ha
1987,53765,131,212.0179,914.5603,3774.398,2802.572,10.771,10.658,6.962,0.1129999,3.696,0.2318249,0.7425216
459,51924,194,151.9955,649.8162,3188.932,1394.847,10.997,10.778,6.538,0.2189999,4.24,0.2339054,0.4374024
460,51924,196,767.9733,583.1999,1815.267,644.0153,12.03,11.934,10.022,0.09599972,1.912,1.316827,0.3547771
1592,52990,442,71.22566,114.3835,345.9566,276.9063,10.944,10.932,9.32,0.01200008,1.612,0.6226916,0.8004076
2266,53679,412,1148.948,521.15,1884.265,218.7063,13.248,13.127,9.961,0.1210003,3.165999,2.204639,0.1160698
2266,53679,554,52.36721,80.34161,379.9902,251.7317,12.443,12.374,9.061,0.06900024,3.313,0.6518068,0.6624689
2266,53679,554,52.36721,80.34161,379.9902,251.7317,13.022,12.939,9.651,0.08300018,3.288,0.6518068,0.6624689
1621,53383,48,157.6654,326.0396,1755.793,1120.959,10.825,10.739,7.454,0.08599949,3.285,0.4835774,0.6384348
1785,54439,379,157.5523,103.9542,386.7274,454.2625,9.494,9.538,8.443,-0.04399967,1.095,1.515593,1.174632
566,52238,381,143.5862,28.5283,153.8122,111.482,12.583,12.609,11.588,-0.02600002,1.021,5.033116,0.7247928
2171,53557,414,517.3818,656.2391,2763.628,1363.364,10.596,10.578,8.034,0.01799965,2.544,0.7884045,0.4933237
2743,54259,216,2322.263,2452.829,11302.42,6562.333,10.322,9.987,5.87,0.3349991,4.117001,0.9467694,0.5806131
1801,54156,434,92.37119,55.98993,170.2104,227.0901,10.856,10.929,9.203,-0.07299995,1.726,1.649782,1.334173
835,52326,130,121.3114,56.37286,214.6009,436.0734,11.109,11.118,8.994,-0.008999825,2.124,2.151946,2.03202
665,52168,398,355.7972,272.3611,978.3191,871.1136,10.692,10.775,9.841,-0.08299923,0.934,1.306344,0.8904186
1267,52932,475,201.5748,206.0101,662.5453,450.8914,10.936,10.969,9.759,-0.03299999,1.21,0.9784706,0.6805443
890,52583,580,140.6149,67.60653,162.4741,146.2638,10.939,10.996,9.927,-0.05700016,1.069,2.079902,0.9002283
2759,54534,461,127.3183,65.58327,174.3565,149.4402,10.878,10.936,9.998,-0.05799961,0.9379997,1.941323,0.857096
1936,53330,49,53.60918,66.61237,386.0497,303.3511,11.314,11.31,9.422,0.00399971,1.888,0.8047931,0.7857825
367,51997,235,78.43416,115.0233,612.879,497.0024,12.569,12.397,8.77,0.1719999,3.627,0.6818982,0.8109307
1020,52721,103,155.4445,77.28137,202.3219,242.2809,10.967,11.012,9.869,-0.04500008,1.143,2.01141,1.197502
1749,53357,504,66.67204,48.74186,161.1745,194.1384,12.092,12.164,10.611,-0.07199955,1.552999,1.36786,1.204523
854,52373,359,81.99693,309.3317,1598.466,807.6415,11.472,11.352,7.794,0.1199999,3.558,0.2650777,0.5052603
2202,53566,238,191.7525,154.0257,361.0269,359.933,10.959,11.035,10.449,-0.07600021,0.5859995,1.244938,0.9969701
2205,53793,208,745.2076,1114.49,3924.727,1299.615,12.473,12.399,8.859,0.0739994,3.54,0.6686536,0.3311351
1431,52992,251,55.55807,28.19223,66.71165,35.21398,12.456,12.462,11.93,-0.005999565,0.5319996,1.970687,0.5278535
630,52050,245,470.1197,2261.424,8449.703,3992.471,11.746,11.552,7.25,0.1940002,4.302,0.2078866,0.4724983
473,51929,29,52.35191,35.74885,143.8768,174.7336,11.081,11.031,8.769,0.05000019,2.262,1.464436,1.214467
710,52203,247,266.7648,159.6467,627.265,1293.288,10.017,10.006,8.797,0.01100063,1.209,1.67097,2.061789
