#Table1
plate,mjd,fiberid,z,ratio_oiii_hb,ratio_hb_hg,ratio_oiii_hg,h_beta_eqw,h_beta_flux,e_bv_sfd
1716,53827,350,0.5008188,0.9021373,1.903746,1.71744,-9.304626,798.7177,0.03326718
1735,53035,557,0.3902594,1.800681,2.708742,4.877579,-12.23246,678.4233,0.05445364
1997,53442,639,0.3342988,0.266403,2.315351,0.6168163,-10.1722,2544.763,0.02276562
2533,54585,612,0.1472984,0.6300117,1.699741,1.070857,-8.637259,873.853,0.05242494
2649,54212,215,0.1266571,1.036598,1.842654,1.910092,-8.841555,2140.768,0.05069542
2669,54086,451,0.08929483,0.5544354,1.979783,1.097662,-21.56355,9483.637,0.4328821
355,51788,414,0.09262062,0.7112553,2.642485,1.879482,-10.94744,1590.3,0.04385718
494,51915,124,0.1842309,1.842156,2.127565,3.919306,-14.36981,1780.146,0.01408172
519,52283,280,0.2402315,1.031102,1.964605,2.025708,-10.43072,2368.552,0.02099199
1233,52734,312,0.4144244,1.496639,1.449437,2.169284,-7.303505,819.0699,0.02098736
2156,54525,122,0.3813043,0.4967186,2.071693,1.029048,-9.231826,455.8603,0.03792301
2227,53820,252,0.4759276,2.68038,1.402163,3.758329,-5.62268,292.3211,0.0200961
564,52224,471,0.5112072,0.1912216,2.323531,0.4443092,-16.15146,2766.907,0.03008878
1921,53317,429,0.3683242,0.2722035,1.958329,0.5330641,-12.25224,1482.056,0.03458149
2018,53800,618,0.4459953,0.1528739,1.773363,0.2711008,-9.794794,1222.596,0.01582363
2425,54139,243,0.09495958,0.8091443,1.653342,1.337792,-9.700706,468.8044,0.03617373
270,51909,537,0.1774282,1.070358,1.720245,1.841278,-6.451722,1343.096,0.03172235
465,51910,603,0.5496119,3.92246,1.954858,7.667851,-11.59554,799.0661,0.0680838
497,51989,466,0.1277341,0.4635237,1.779278,0.8247373,-16.60515,2236.087,0.03951375
1624,53386,579,0.5858535,3.176064,1.451328,4.609513,-7.20357,371.3216,0.01706536
1752,53379,562,0.3697132,1.293367,1.387157,1.794104,-6.68421,748.54,0.01785642
2129,54252,420,0.3851442,0.3765537,1.828192,0.6884125,-11.4942,618.8804,0.01254005
2437,53848,438,0.09829526,1.234654,1.97308,2.436072,-17.36672,1836.073,0.03652591
2532,54589,599,0.09159148,0.84781,1.75174,1.485142,-8.021374,999.2677,0.05900654
585,52027,368,0.1058275,0.2160255,2.210019,0.4774205,-31.98537,4298.79,0.02938451
777,52320,588,0.5924422,3.711572,1.630099,6.050231,-6.296787,639.2422,0.01636699
1381,53089,447,0.08168268,0.3039684,2.128531,0.6470062,-12.61329,1508.802,0.01165435
1600,53090,363,0.190513,0.6440513,1.016035,0.6543786,-4.141082,367.7924,0.02776245
1624,53386,31,0.5864882,0.6851025,1.549326,1.061447,-4.996523,420.0517,0.01794488
1866,53314,508,0.1415131,0.3805769,2.229087,0.8483391,-15.2922,4447.396,0.08946528
1986,53475,490,0.09574385,0.4794881,1.004221,0.481512,-4.365608,640.7239,0.0190759
2281,53711,151,0.06521195,1.913376,2.563015,4.90401,-11.93965,2226.578,0.0230756
762,52232,498,0.2543997,1.509214,2.17102,3.276532,-15.03455,4576.92,0.028514
1754,53385,324,0.4343848,0.646228,2.294816,1.482974,-15.685,1279.667,0.03020268
1871,53384,178,0.1397043,0.9377232,1.495519,1.402383,-6.179073,553.1812,0.0433805
1940,53383,489,0.4486991,2.356877,1.705075,4.018652,-8.086901,632.2029,0.02184018
2356,53786,575,0.210506,0.5594723,1.77708,0.9942271,-14.41513,1899.59,0.01728246
2526,54582,404,0.4583784,0.3373327,2.017231,0.6804778,-11.94227,965.0396,0.05439631
973,52426,114,0.1632425,0.1671373,2.464462,0.4119034,-23.87314,5054.773,0.02267168
276,51909,251,0.3589468,1.967947,1.567127,3.084023,-7.749121,1942.12,0.05822459
494,51915,266,0.443349,0.3318119,2.135608,0.7086202,-11.29319,803.4067,0.01736788
1059,52618,215,0.2527351,0.4724707,2.291722,1.082772,-12.84545,2892.682,0.04490913
1224,52765,334,0.5102516,1.996263,1.224824,2.44507,-4.802947,566.0748,0.02890031
2158,54209,114,0.136087,0.1663319,2.437711,0.4054691,-24.24099,4356.603,0.04312729
2233,53845,594,0.09969537,0.9054357,1.137604,1.030027,-4.384429,568.3914,0.02095873
2234,53823,566,0.2907429,0.2418122,2.31614,0.5600708,-31.7185,2358.598,0.01494053
403,51871,550,0.1634896,1.306235,1.778036,2.322533,-15.5128,3367.793,0.02893843
650,52143,279,0.07390003,2.542713,2.03065,5.163361,-19.92488,2517.656,0.03201083
656,52148,282,0.4236842,0.3461726,2.096536,0.7257633,-12.31159,1365.047,0.02947504
974,52427,4,0.2075965,0.6764649,1.717576,1.16188,-8.412434,1538.251,0.02800488
1277,52765,332,0.2055347,0.5995306,1.80958,1.084898,-10.36662,1431.322,0.01941598
2613,54481,342,0.06355042,1.093161,1.824435,1.994401,-11.70968,3590.22,0.02681515
2771,54527,419,0.2610683,0.2434501,2.117563,0.515521,-14.25335,1618.641,0.02582617
2774,54534,430,0.1098744,0.8757405,1.214635,1.063705,-5.147871,1842.363,0.0324995
299,51671,251,0.3858436,0.3696499,2.381612,0.8803626,-12.96311,678.8031,0.02635309
340,51990,485,0.08373255,0.8488361,1.598201,1.356611,-10.21055,1447.242,0.02868657
523,52026,215,0.3428728,1.786942,1.754779,3.135689,-9.174288,1565.865,0.01833238
789,52342,507,0.1347965,0.7759572,1.189505,0.9230051,-4.659881,892.6796,0.01291334
1211,52964,96,0.2568103,0.9005882,2.186809,1.969415,-13.35962,2085.891,0.02328699
1224,52765,379,0.5228383,0.3398808,2.737802,0.9305261,-12.69335,1333.446,0.04002199
1225,52760,9,0.06871108,2.760107,1.636287,4.516329,-8.725917,1617.351,0.02711669
1391,52817,578,0.322985,0.6645819,1.84849,1.228473,-8.98836,992.5004,0.03971768
2153,54212,506,0.4357807,0.1370733,1.742232,0.2388135,-7.702749,1594.27,0.05071359
2281,53711,618,0.3312704,0.1938764,2.625559,0.5090339,-15.05295,907.6284,0.03245538
2497,54154,441,0.2716148,0.2583514,1.980667,0.5117081,-15.74488,944.9173,0.01725316
456,51910,566,0.3524207,0.3168468,1.972087,0.6248493,-11.83803,824.8037,0.02862927
572,52289,442,0.1617697,0.336162,2.26272,0.7606404,-16.94715,1354.625,0.03441319
1773,53112,301,0.4975437,0.9197367,1.317378,1.21164,-6.771779,651.824,0.02385371
2002,53471,150,0.5487866,0.2497028,2.154906,0.5380861,-15.77385,1572.156,0.01438104
2773,54533,640,0.2134592,0.2488954,1.947451,0.4847117,-14.82997,1652.594,0.03172268
511,52636,315,0.210923,0.4147691,2.267872,0.9406432,-15.90424,1450.228,0.04759682
1584,52943,124,0.1244479,0.8165285,1.581678,1.291486,-5.983191,808.6858,0.06539792
1928,53327,212,0.3020917,0.6704153,2.807582,1.882246,-9.726498,1375.507,0.03326263
1928,53327,610,0.3304307,0.3130468,2.584524,0.8090768,-15.49919,2739.652,0.03081929
450,51908,575,0.1112474,0.341556,1.89412,0.6469482,-22.56711,1109.689,0.0229581
692,52201,421,0.3996431,0.7158518,2.158957,1.545493,-14.19202,2110.055,0.02416161
795,52378,528,0.5607508,0.4668604,1.888805,0.8818083,-12.8672,625.2177,0.01193781
1694,53472,540,0.5119441,0.2110908,2.879598,0.6078568,-16.54789,1848.843,0.0279867
412,52258,129,0.08017637,0.559593,2.010858,1.125262,-12.63087,2925.605,0.06504875
1012,52649,74,0.1027759,0.7229698,2.35134,1.699948,-22.34332,3461.101,0.01297909
1847,54176,630,0.4473778,0.4833947,2.170741,1.049325,-13.29521,1699.505,0.02485514
1848,54180,390,0.2308216,0.3264846,1.903719,0.6215349,-7.999559,969.6373,0.04131947
1951,53389,614,0.07885244,0.6073617,2.461461,1.494997,-20.80499,8040.256,0.01104522
2882,54498,437,0.2251655,0.3640934,2.067431,0.7527382,-12.56096,1074.858,0.009952372
2883,54525,524,0.09967799,3.567403,1.815665,6.47721,-27.72459,4169.275,0.01186498
581,52356,226,0.4363526,1.960913,0.9577127,1.877991,-4.08669,210.7266,0.06911165
658,52146,548,0.3569269,0.5259706,2.481098,1.304985,-16.65986,2312.302,0.03515561
1727,53859,568,0.1188412,0.2283979,2.313178,0.528325,-21.31766,5024.298,0.04138075
1744,53055,630,0.2407427,0.7668698,1.191549,0.9137629,-4.530081,1351.735,0.03843554
1943,53386,466,0.1269882,0.798463,1.668067,1.33189,-5.208287,942.4144,0.01675888
2033,53476,512,0.2848447,0.3356205,2.088459,0.7009295,-16.67516,3167.782,0.01505516
2428,53801,342,0.5038974,0.2827981,2.008138,0.5678975,-12.14369,1402.407,0.05240672
464,51908,576,0.5702274,0.4052001,1.133334,0.4592269,-3.915135,367.0603,0.0965671
721,52228,454,0.502505,0.4051845,2.428448,0.9839695,-20.61713,574.8325,0.05165878
793,52370,549,0.513281,0.7883095,2.692936,2.122867,-8.881385,481.7625,0.01412164
1058,52520,379,0.204809,0.3135245,2.142452,0.6717112,-16.9973,2409.323,0.02150116
1601,53115,118,0.1337497,0.6198953,2.155445,1.33615,-19.79977,3727.647,0.02868453
2524,54568,468,0.3722553,0.5776106,2.006942,1.159231,-10.00645,914.0095,0.04266924
2612,54480,330,0.3338061,0.1614824,2.025746,0.3271222,-11.54037,1226.262,0.02575892
2646,54479,204,0.4338264,0.1564952,1.913876,0.2995124,-9.889492,1557.825,0.02289122
2755,54507,376,0.08377949,0.7089028,1.660927,1.177436,-7.840153,767.4379,0.02384765
1365,53062,378,0.1437301,0.9069203,1.946449,1.765274,-8.205224,2177.18,0.01563415
1624,53386,633,0.3419518,0.9289842,1.781355,1.654851,-7.843105,687.1569,0.02139797
1831,54557,501,0.2876647,0.255898,2.250914,0.5760044,-23.49095,2066.256,0.0306989
2162,54207,140,0.2161547,0.3611717,2.393383,0.864422,-20.94106,4474.285,0.06868968
2271,53726,343,0.1591409,1.563517,1.756025,2.745576,-15.53182,1350.098,0.04080644
2294,54524,577,0.1221442,1.026439,2.031629,2.085343,-14.87268,2112.767,0.02039093
285,51930,280,0.2596902,2.167527,1.833078,3.973245,-10.69686,923.6492,0.03197987
