RAJ2000,DEJ2000,Plate,Fiber,MJD,iMAG,logLbol,e_logLbol,logLBHb,e_logLBHb,W_BHb_,e_W_BHb_,EWBHb,e_EWBHb,SN_Hb_,logBH,e_logBH,logEdd,redshift,h_beta_flux,D_L_Mpc,D_L_cm,L_Hbeta,log_L_Hbeta,M_BH_Msun,log_M_BH,log_L_bol,L_bol,L_Edd,log_L_Edd,Edd_Ratio,log_Edd_Ratio
206.69362,31.26575,2024,225,53503,-22.41,45.071,0.005,41.99,0.05,7077.9,687.8,39.0,4.6,16.27,8.66,0.08,-1.69,0.2318997,39.36084,1192.8219096913947,3.680663823667521e+27,6.70079802133036e+40,40.82612652742051,24402523.390803512,7.387434737733734,43.76655893577528,5.841964798854573e+43,3.367548227930884e+45,45.52731382413497,0.01734782816293633,-1.7607548883596917
206.73869,36.5476,2033,357,53476,-23.23,45.431,0.002,42.33,0.14,1664.0,692.5,33.9,8.6,25.66,7.58,0.36,-0.25,,,,,,,,,,,,,,
206.77046,14.69379,1776,612,53858,-22.86,45.316,0.001,41.97,0.02,1845.5,59.3,19.8,1.4,45.73,7.62,0.03,-0.4,0.1341881,1311.827,651.4950681177492,2.0103037251715112e+27,6.6620790896497836e+41,41.82360978416341,6432341.794930467,6.808369113431371,44.704193197113604,5.060497295744331e+44,8.876631677004045e+44,44.948248199832605,0.5700920664371084,-0.24405500271900404
206.88786,13.66708,1776,28,53858,-23.57,45.34,0.005,42.46,0.02,8417.1,207.1,58.6,3.6,25.81,8.95,0.02,-1.71,0.2828774,125.221,1495.1954402655576,4.61369104774566e+27,3.3495313708611607e+41,41.52498404963812,89181917.2681887,7.950276804748778,44.42348500665983,2.6514595539201203e+44,1.230710458301004e+46,46.09015589115001,0.02154413766484491,-1.6666708844901832
206.90607,30.21452,2094,630,53851,-22.94,45.16,0.007,42.51,0.01,6555.2,122.2,95.7,3.0,41.61,8.64,0.02,-1.58,0.1175316,1342.066,564.5819769455877,1.7421179483330768e+27,5.1184545156076265e+41,41.70913884834598,69466442.02053113,7.841775055453868,44.59659051744522,3.949940170505982e+44,9.586368998833295e+45,45.9816541418551,0.041203715097830135,-1.3850636244098833
206.95029,40.77574,1377,514,53050,-23.11,45.257,0.004,42.23,0.06,5208.2,415.1,43.5,5.4,19.69,8.49,0.07,-1.33,0.2707613,91.76868,1422.1583565986352,4.388322156166054e+27,2.2207586071633265e+41,41.34650135401248,26793061.873607263,7.428022347009768,44.255711272771734,1.8018194587514268e+44,3.697442538557802e+45,45.567901433411,0.04873150670934379,-1.3121901606392705
206.95824,40.76028,1377,554,53050,-22.43,44.87,0.004,41.97,0.03,3732.6,494.4,58.7,4.3,19.52,8.01,0.12,-1.24,0.1604147,493.3671,791.6034700833292,2.4426330798863293e+27,3.699103798953943e+41,41.56809651803625,18595638.32511525,7.26941109080562,44.46401072695407,2.9107890128655214e+44,2.5661980888659043e+45,45.409290177206856,0.11342807188169579,-0.9452794502527839
206.9706,10.09219,1804,633,53886,-22.82,45.209,0.004,41.98,0.09,1884.9,1186.3,26.0,4.9,17.71,7.58,0.55,-0.47,0.2801969,135.7899,1478.975497085636,4.563641532726503e+27,3.55386053196126e+41,41.55070038030999,4631280.601528149,6.665701094965704,44.44765835749139,2.8032275806913746e+44,6.391167230108846e+44,44.80558018136694,0.4386096435538949,-0.3579218238755489
207.017,60.52518,786,150,52319,-23.14,45.226,0.002,42.39,0.02,2115.0,266.2,62.6,3.2,24.96,7.69,0.11,-0.56,0.2376035,687.257,1226.0029631818647,3.783049856503845e+27,1.2359849020932976e+42,42.09201316575473,12165213.996059608,7.085119752929017,44.95649237580945,9.046745557224993e+44,1.6787995314562258e+45,45.224998839330254,0.5388818252395899,-0.2685064635208064
207.08755,50.06027,1669,63,53433,-23.53,45.381,0.002,42.47,0.07,1438.8,691.4,53.4,7.1,22.39,7.43,0.42,-0.15,0.2932138,719.9677,1558.0666235098383,4.8076912483106085e+27,2.091202145285273e+42,42.320396015763,7677958.304018559,6.885245749304722,45.17117225481722,1.4831062149591943e+45,1.059558245954561e+45,45.02512483570596,1.3997401470110375,0.14604741911126343
